Source,Target,Weight,Season
黃眉僧,本觀,1,1
本相,枯榮,4,1
枯榮,鳩摩智,29,1
本相,鳩摩智,9,1
鳩摩智,本參,9,1
鳩摩智,本觀,9,1
鳩摩智,玄渡,6,1
枯榮,慕容博,1,1
鳩摩智,段譽,127,1
鳩摩智,本塵,2,1
鳩摩智,丁春秋,16,1
木婉清,鳩摩智,5,1
鳩摩智,崔百泉,14,1
鳩摩智,過彥之,10,1
鳩摩智,柯百歲,1,1
柯百歲,慕容博,1,1
阿碧,鳩摩智,36,1
阿碧,段譽,104,1
阿碧,崔百泉,16,1
阿碧,過彥之,12,1
阿碧,阿朱,131,1
鳩摩智,阿朱,23,1
阿朱,崔百泉,8,1
阿碧,慕容博,1,1
阿朱,段譽,116,1
崔百泉,柯百歲,1,1
阿碧,木婉清,2,1
阿朱,過彥之,3,1
阿碧,枯榮,1,1
阿碧,玄悲,3,1
阿朱,玄悲,2,1
阿碧,幽草,7,1
阿朱,幽草,6,1
段譽,幽草,4,1
丐幫,阿朱,49,1
丐幫,段譽,45,1
阿碧,慕容復,3,1
慕容復,阿朱,14,1
唐光雄,段譽,2,1
小詩,小翠,1,1
小詩,小蘭,1,1
小翠,小蘭,1,1
小茶,段譽,3,1
阿碧,小詩,1,1
小詩,段譽,1,1
小茗,段譽,6,1
阿碧,丐幫,13,1
阿碧,小茗,6,1
丐幫,小茗,3,1
阿朱,小茗,6,1
慕容復,段譽,180,1
朱丹臣,玄悲,3,1
朱丹臣,段正明,1,1
阿碧,王語嫣,46,1
阿朱,王語嫣,57,1
王語嫣,段譽,313,1
阿碧,小茶,1,1
阿朱,小茶,1,1
王語嫣,小茗,2,1
王語嫣,小茶,2,1
王語嫣,幽草,2,1
小茗,小茶,1,1
小茗,幽草,5,1
小茶,幽草,1,1
王語嫣,玄悲,5,1
王語嫣,玄慈,1,1
王語嫣,柯百歲,2,1
玄悲,柯百歲,1,1
慕容復,鄧百川,53,1
慕容復,喬峰,23,1
鄧百川,喬峰,2,1
慕容復,王語嫣,125,1
王語嫣,嚴媽媽,12,1
段譽,嚴媽媽,12,1
阿碧,嚴媽媽,3,1
阿朱,嚴媽媽,4,1
阿碧,包不同,16,1
阿朱,包不同,18,1
包不同,王語嫣,49,1
包不同,段譽,36,1
老顧,阿朱,6,1
老顧,段譽,4,1
老顧,王語嫣,1,1
阿朱,慕容博,1,1
阿朱,姚伯當,4,1
慕容博,姚伯當,2,1
王語嫣,姚伯當,10,1
王語嫣,慕容博,2,1
諸保昆,司馬林,32,1
王語嫣,司馬林,17,1
司馬林,姚伯當,15,1
諸保昆,姚伯當,4,1
王語嫣,諸保昆,14,1
王語嫣,海風子,2,1
